,Workload,ReplacementPolicy,IPC,LLC_Load_Access,LLC_Load_Hit,LLC_Load_Miss,LLC_Load_MPKI,LLC_Miss_Latency,L2C_Load_Access,L2C_Load_Hit,L2C_Load_Miss,L2C_Load_MPKI,L2C_Miss_Latency,L1D_Load_Access,L1D_Load_Hit,L1D_Load_Miss,L1D_Load_MPKI,L1D_Miss_Latency
105,bfs-14,dummy_hits_topk_epoch,0.346734,835272.0,340173.0,495099.0,9.90198,131.722,1157335.0,322063.0,835272.0,16.70544,103.959,7327428.0,6170100.0,1157328.0,23.14656,85.8583
106,bfs-3,dummy_hits_topk_epoch,0.300548,902382.0,355054.0,547328.0,10.94656,133.87,1596067.0,693685.0,902382.0,18.04764,107.941,8428774.0,6832711.0,1596063.0,31.92126,71.9564
107,bfs-8,dummy_hits_topk_epoch,0.41436,822143.0,392610.0,429533.0,8.59066,152.104,1016228.0,194085.0,822143.0,16.44286,109.923,5949425.0,4933211.0,1016214.0,20.32428,101.016
108,cc-13,dummy_hits_topk_epoch,0.323123,2616249.0,2236601.0,379648.0,7.59296,137.456,3755386.0,1139136.0,2616250.0,52.325,43.9276,10418244.0,6662857.0,3755387.0,75.10774,41.7836
109,cc-14,dummy_hits_topk_epoch,0.377,2553975.0,2190309.0,363666.0,7.27332,138.377,3656819.0,1102844.0,2553975.0,51.0795,43.7816,10113184.0,6456365.0,3656819.0,73.13638,41.82
110,cc-5,dummy_hits_topk_epoch,0.420951,2514036.0,2158146.0,355890.0,7.1178,138.433,3601140.0,1087103.0,2514037.0,50.28074,43.7656,9879990.0,6278849.0,3601141.0,72.02282,41.8189
111,cc-6,dummy_hits_topk_epoch,0.298124,2784971.0,2376022.0,408949.0,8.17898,138.904,3999386.0,1214415.0,2784971.0,55.69942,44.2651,10646083.0,6646697.0,3999386.0,79.98772,42.0208
112,pr-10,dummy_hits_topk_epoch,0.106816,6542408.0,5327751.0,1214657.0,24.29314,153.305,9098091.0,2555683.0,6542408.0,130.84816,49.503,17379983.0,8281892.0,9098091.0,181.96182,46.5659
113,pr-14,dummy_hits_topk_epoch,0.10714,6495861.0,5294472.0,1201389.0,24.02778,153.224,9103201.0,2607340.0,6495861.0,129.91722,49.3842,17379096.0,8275893.0,9103203.0,182.06406,46.2105
114,pr-3,dummy_hits_topk_epoch,0.107295,6499477.0,5294393.0,1205084.0,24.10168,152.866,9079451.0,2579974.0,6499477.0,129.98954,49.3887,17379810.0,8300359.0,9079451.0,181.58902,46.3271
